title,link
코로나19 여파에도 인공지능 사업 ‘착착’,http://news.kbs.co.kr/news/view.do?ncd=4506654&ref=A
광주 'AI 사관학교' 개교…인공지능 인재 양성 '닻' 올렸다,https://www.hankyung.com/society/article/2020072710081
국내 1호 인공지능 시범도시 건설 'AI 광주 시대' 열린다,https://www.hankyung.com/society/article/2020072709971
광주인공지능사관학교 개교...실무인재 본격 양성,http://www.fnnews.com/news/202007021402326130
광주 인공지능 사관학교 첫 교육생 180명 확정…7월 2일 입교,http://yna.kr/AKR20200625147400054?did=1195m
"이용섭 광주시장 취임 2주년 ""광주형일자리, 인공지능 큰 성과""",http://www.newsprime.co.kr/news/article.html?no=509412
광주 인공지능사관학교 7월 문 연다…150여명 인재 양성,http://www.etnews.com/20200420000260
광주 인공지능사관학교 경쟁률 5.8대 1…전국서 지원자 몰려,https://www.news1.kr/articles/?3951884
광주인공지능사관학교 경쟁률 4대1 '인기',https://www.jnilbo.com/view/media/view?code=2020052616282859512
광주 AI사관학교 합격자 180명 발표,http://news.kbs.co.kr/news/view.do?ncd=4480186&ref=A
"광주시, 인공지능사관학교 교육생 모집",https://www.nocutnews.co.kr/news/5337439
광주 인공지능사관학교 경쟁률 5.8:1,http://news.kbs.co.kr/news/view.do?ncd=4460292&ref=A
"호남대, 광주AI사관학교 1기 교육생 모집",https://www.nocutnews.co.kr/news/5342966
광주인공지능사관학교 교육생 경쟁률 4대1 '인기',http://www.etnews.com/20200527000057
"'부럽지’ 지숙-이두희, 광주 출장 모습 공개",http://www.kjdaily.com/read.php3?aid=1592089705513909208
광주 인공지능사관학교 인기 ‘돌풍’,http://www.hankookilbo.com/news/npath/202006021080084961?did=NA
인공지능 사관학교 교육생 모집 인기…6월 20일 선발시험,http://yna.kr/AKR20200519050400054?did=1195m
광주 인공지능 사관학교 입학 '좋아요',http://www.namdonews.com/news/articleView.html?idxno=576740
인공지능 사관학교 설립 협약,http://yna.kr/PYH20191119152700054?did=1196m
광주 인공지능(AI) 사관학교 7월 개교,http://www.siminsori.com/news/articleView.html?idxno=221551
"광주시, 인공지능 중심도시 실무인재 양성 닻 올렸다",http://www.betanews.net:8080/article/1201534.html
광주인공지능사관학교 180명 최종 선발,http://www.siminsori.com/news/articleView.html?idxno=222330
"광주시, 인공지능사관학교 교육생 모집",https://www.wikitree.co.kr/articles/528983
"인공지능 기업들, '이런 인재 원한다'",https://news.kjmbc.co.kr/node/314711
"광주시, 5월말까지 인공지능사관학교 교육생 모집",http://www.etnews.com/20200506000170
"[포토] 이용섭 광주시장, 광주인공지능사관학교 개교식 참석",http://www.enewstoday.co.kr/news/articleView.html?idxno=1397997
광주 인공지능사관학교 7월 문 연다,http://www.thekpm.com/view.php?ud=202004211004101775931afa4cb1_17
"광주시, 인공지능사관학교 지원자 전국에서 몰렸다",http://www.breaknews.com/733791
광주 인공지능사관학교 개교...실무인재 양성 닻 올라,http://www.ilyoseoul.co.kr/news/articleView.html?idxno=403670
"'화려한 AI가 빛고을을 감싸네' 광주광역시, 인공지능 인재 육성 본격화",http://www.industrynews.co.kr/news/articleView.html?idxno=38817
광주 AI 교육생 GGM 채용 열기…과거 상상조차 못해,http://news.kmib.co.kr/article/view.asp?arcid=0014644258&code=61121111&cp=nv
광주 인공지능 사관학교 최종 경쟁률 5.8대 1...지원자 전국에서 몰려들어,http://www.aitimes.com/news/articleView.html?idxno=129001
광주 AI사관학교 본격 개교...코로나 확산에 온라인수업 진행,https://www.sedaily.com/NewsView/1Z55C7HYIX
"광주시, 인공지능 AI 사관학교 설립 박차···내년 3월 개교",http://www.newsis.com/view/?id=NISX20191119_0000834457&cID=10809&pID=10800
"실무형 인재양성 인공지능 사관학교, 내년 광주서 개교",http://www.honam.co.kr/article.php?aid=1574142522602575227
인공지능사관학교 경쟁률 5.8:1…전국서 몰려,https://view.asiae.co.kr/article/2020060117170050821
"광주시, '인공지능 사관학교' 설립 정부 공모 사업으로 추진",http://yna.kr/AKR20200212045100054?did=1195m
광주시 인공지능사관학교 2020년 3월 개교 추진,http://www.gjdream.com/v2/news/view.html?news_type=201&uid=500744
"창사특집>""인공지능산업 육성으로 비대면 경제 선도해야""",https://www.jnilbo.com/view/media/view?code=2020071410473701637
"광주시, 높은 경쟁률 인공지능사관학교 1054명 지원",http://www.ybsn.tv/news/articleView.html?idxno=15251
[지역산업의 미래 인공지능(AI)에 달렸다](1)프롤로그-새로운 도전,http://www.kjdaily.com/read.php3?aid=1591268914512961036
광주 인공지능 사관학교 개설…1년 기숙형 과정 100명 모집,http://yna.kr/AKR20191118070000054?did=1195m
취업걱정 ‘끝’...광주인공지능사관학교 가자,http://www.betanews.net:8080/article/1173210.html
인공지능 특화인재에 도전하세요,http://www.boannews.com/media/view.asp?idx=87979&kind=
광주시 ‘AI 학교’ 만든다 정부 거점교육사업 선정,http://news.kmib.co.kr/article/view.asp?arcid=0924134250&code=11131423&cp=nv
인공지능 기업 광주로 온다,https://news.kjmbc.co.kr/node/312122
인공지능사관학교 지원자 전국서 몰려,http://www.kjdaily.com/read.php3?aid=1591009031512613002
"""인공지능 중심도시 실현""...광주, 29일 청사진 발표",https://www.sedaily.com/NewsView/1YXNNVY4XT
"호남대, 광주AI사관학교 1기 교육생 모집",http://moneys.mt.co.kr/news/mwView.php?no=2020051410598080270
'의향' 광주를 넘어 '인공지능 중심도시'로,http://www.fnnews.com/news/202001291425589933
"광주시, 대한민국 인공지능 4대 강국 견인한다",http://www.boannews.com/media/view.asp?idx=88221&kind=
"이용섭 광주시장 ""인공지능 중심 산업융합 집적단지 조성 박차 가해야""",http://www.enewstoday.co.kr/news/articleView.html?idxno=1350171
‘인공지능 중심도시 광주’ 순풍 돛 올렸다,http://www.jndn.com/article.php?aid=1592129323301983001
오프닝+광주 지역 첫 인공지능 채용설명회..지역인재 채용 관심,http://ikbc.co.kr/kor/news?mode=view&nwCd=main_news_02&menuId=56_65_73&nwid=359508
"[2020 신년 특집]광주, 인공지능 인재양성 요람으로",http://www.namdonews.com/news/articleView.html?idxno=554849
"광주시, 대한민국 인공지능 강국 견인한다",https://www.jnilbo.com/view/media/view?code=2020051716173337327
광주 ‘AI 집적단지’ 인프라 조성 잰걸음,http://www.jndn.com/article.php?aid=1587550681299383001
"이용섭 광주시장 ""인공지능 중심 산업융합 집적단지 조성 박차 가해달라""",http://www.wikitree.co.kr/main/news_view.php?id=482161
광주시 ‘인공지능 중심도시’ 비전 선포,https://view.asiae.co.kr/article/2020012914393755723
"광주, 인공지능 중심도시 선포… AI산업융합 사업단 출범",http://news.kmib.co.kr/article/view.asp?arcid=0014177578&code=61121111&cp=nv
"""인공지능 광주시대 활짝 열겠다""",http://www.namdonews.com/news/articleView.html?idxno=558740
[집중취재]① AI 산업 핵심은 ‘인재’…사관학교 ‘인기’,http://news.kbs.co.kr/news/view.do?ncd=4458394&ref=A
광주 지역 첫 인공지능 채용설명회..지역인재 채용 관심,http://ikbc.co.kr/kor/news?mode=view&nwCd=main_news_05&menuId=56_65_76&nwid=359526
